Event	ID	Name			Wwise Object Path	Notes
	522022064	Menu_MusicStart			\UI\Menu_MusicStart	
	1428083659	Menu_MusicEnd			\UI\Menu_MusicEnd	
	4058101365	GameStart			\UI\GameStart	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	88564371	MiddleB-Bass1_120bpm3-4-L31-PM1	D:\Documents\GitHub\GameJamProjects\JoshDeathDefyingAdventure2\Josh's Death Defying Adventure!\Josh's Death Defying Adventure!_WwiseProject\.cache\Mac\SFX\Middle B\MiddleB-Bass1_120bpm3-4-L31-PM1_9EDFC787.wem		\Interactive Music Hierarchy\Default Work Unit\MainMenu_Music\Music_MenuB\MiddleB-Bass1_120bpm3-4-L31-PM1		678865
	104286455	MiddleB-Pad1_120bpm3-4-L31-PM1	D:\Documents\GitHub\GameJamProjects\JoshDeathDefyingAdventure2\Josh's Death Defying Adventure!\Josh's Death Defying Adventure!_WwiseProject\.cache\Mac\SFX\Middle B\MiddleB-Pad2_120bpm3-4-L31-PM1_9EDFC787.wem		\Interactive Music Hierarchy\Default Work Unit\MainMenu_Music\Music_MenuB\MiddleB-Pad1_120bpm3-4-L31-PM1		854988
	176159737	MiddleB-Pad1_120bpm3-4-L31-PM1	D:\Documents\GitHub\GameJamProjects\JoshDeathDefyingAdventure2\Josh's Death Defying Adventure!\Josh's Death Defying Adventure!_WwiseProject\.cache\Mac\SFX\Middle B\MiddleB-Pad1_120bpm3-4-L31-PM1_9EDFC787.wem		\Interactive Music Hierarchy\Default Work Unit\MainMenu_Music\Music_MenuB\MiddleB-Pad1_120bpm3-4-L31-PM1		854638
	375971432	MiddleA-Bass1_120bpm3-4-L31-PM1	D:\Documents\GitHub\GameJamProjects\JoshDeathDefyingAdventure2\Josh's Death Defying Adventure!\Josh's Death Defying Adventure!_WwiseProject\.cache\Mac\SFX\Middle A\MiddleA-Bass3_120bpm3-4-L31-PM1.wav_9EDFC787.wem		\Interactive Music Hierarchy\Default Work Unit\MainMenu_Music\Music_MenuA\MiddleA-Bass1_120bpm3-4-L31-PM1		863520
	505585677	MiddleA-Pad1_120bpm3-4-L31-PM1_wav	D:\Documents\GitHub\GameJamProjects\JoshDeathDefyingAdventure2\Josh's Death Defying Adventure!\Josh's Death Defying Adventure!_WwiseProject\.cache\Mac\SFX\Middle A\MiddleA-Pad2_120bpm3-4-L31-PM1.wav_9EDFC787.wem		\Interactive Music Hierarchy\Default Work Unit\MainMenu_Music\Music_MenuA\MiddleA-Pad1_120bpm3-4-L31-PM1_wav		867917
	601134768	MiddleA-Pad1_120bpm3-4-L31-PM1_wav	D:\Documents\GitHub\GameJamProjects\JoshDeathDefyingAdventure2\Josh's Death Defying Adventure!\Josh's Death Defying Adventure!_WwiseProject\.cache\Mac\SFX\Middle A\MiddleA-Pad3_120bpm3-4-L31-PM1.wav_9EDFC787.wem		\Interactive Music Hierarchy\Default Work Unit\MainMenu_Music\Music_MenuA\MiddleA-Pad1_120bpm3-4-L31-PM1_wav		867923
	649949475	MiddleA-Bass1_120bpm3-4-L31-PM1	D:\Documents\GitHub\GameJamProjects\JoshDeathDefyingAdventure2\Josh's Death Defying Adventure!\Josh's Death Defying Adventure!_WwiseProject\.cache\Mac\SFX\Middle A\MiddleA-Bass1_120bpm3-4-L31-PM1_9EDFC787.wem		\Interactive Music Hierarchy\Default Work Unit\MainMenu_Music\Music_MenuA\MiddleA-Bass1_120bpm3-4-L31-PM1		837205
	705828321	MiddleA-Pad1_120bpm3-4-L31-PM1_wav	D:\Documents\GitHub\GameJamProjects\JoshDeathDefyingAdventure2\Josh's Death Defying Adventure!\Josh's Death Defying Adventure!_WwiseProject\.cache\Mac\SFX\Middle A\MiddleA-Pad1_120bpm3-4-L31-PM1.wav_9EDFC787.wem		\Interactive Music Hierarchy\Default Work Unit\MainMenu_Music\Music_MenuA\MiddleA-Pad1_120bpm3-4-L31-PM1_wav		853431
	770052488	MiddleA-Bass1_120bpm3-4-L31-PM1	D:\Documents\GitHub\GameJamProjects\JoshDeathDefyingAdventure2\Josh's Death Defying Adventure!\Josh's Death Defying Adventure!_WwiseProject\.cache\Mac\SFX\Middle A\MiddleA-Bass2_120bpm3-4-L31-PM1.wav_9EDFC787.wem		\Interactive Music Hierarchy\Default Work Unit\MainMenu_Music\Music_MenuA\MiddleA-Bass1_120bpm3-4-L31-PM1		863539
	804928423	Transition_Whoosh	D:\Documents\GitHub\GameJamProjects\JoshDeathDefyingAdventure2\Josh's Death Defying Adventure!\Josh's Death Defying Adventure!_WwiseProject\.cache\Mac\SFX\Reset_1214EA6D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Non_World\GameStart\Transition_Whoosh		16528
	819622775	GameStart_Note	D:\Documents\GitHub\GameJamProjects\JoshDeathDefyingAdventure2\Josh's Death Defying Adventure!\Josh's Death Defying Adventure!_WwiseProject\.cache\Mac\SFX\GameStart_SFX_81EFBDEA.wem		\Actor-Mixer Hierarchy\Default Work Unit\Non_World\GameStart\GameStart_Note		61972

